Minuto,Factor_Carga,Temp_Ambiente,Temp_Aceite,Temp_Punto_Caliente,Vida_min,Vida_dias
5,0.11304,17.943,29.604202159803034,31.14527106406994,1.053312619334405,0.0007314670967600034
5,0.11304,17.943,29.600492355390703,31.140015181382875,1.0572915437208177,0.0007342302386950123
5,0.11304,17.943,29.59722772750785,31.135389796162812,1.0612683425550127,0.0007369919045520922
5,0.11304,17.943,29.59435485497094,31.13131938272079,1.0652432718083549,0.0007397522720891353
6,0.11544,17.871,29.586597539862588,31.171832835672827,1.0692368485173818,0.0007425255892481818
6,0.11544,17.871,29.579771102567236,31.179040103614533,1.0732337517278987,0.0007453012164777075
6,0.11544,17.871,29.57376383774733,31.175223724168923,1.0772288931503784,0.0007480756202433184
6,0.11544,17.871,29.56847744470581,31.168237176244528,1.0812208113245834,0.0007508477856420718
6,0.11544,17.871,29.56382541882927,31.160793251923828,1.0852092981010018,0.0007536175681256956
6,0.11544,17.871,29.55973163605792,31.15377982632617,1.0891945546236983,0.0007563851073775683
6,0.11544,17.871,29.556129107219128,31.147442736016142,1.0931768946501155,0.0007591506212848025
6,0.11544,17.871,29.552958881840993,31.14180706947758,1.0971566427871067,0.000761914335268824
6,0.11544,17.871,29.550169083508234,31.13682660182873,1.10113410177021,0.0007646764595626459
6,0.11544,17.871,29.547714060975405,31.132436261335275,1.1051095439293492,0.0007674371832842703
6,0.11544,17.871,29.545553641146515,31.12857007278587,1.1090832108949966,0.0007701966742326365
6,0.11544,17.871,29.543652471697094,31.125166866535544,1.1130553159054295,0.0007729550804898816
6,0.11544,17.871,29.541979442581603,31.12217170206139,1.1170260467458282,0.0007757125324623806
6,0.11544,17.871,29.54050717695997,31.11953583483346,1.1209955686536823,0.0007784691448983905
6,0.11544,17.871,29.539211583212932,31.117216227926217,1.1249640269853152,0.0007812250187398022
7,0.11728,17.758,29.527173498962778,31.142301784836135,1.1289440025784139,0.0007839888906794541
7,0.11728,17.758,29.51657998482264,31.142448908819798,1.1329240458174603,0.0007867528095954585
7,0.11728,17.758,29.507257692379323,31.134746890033615,1.1369005493000934,0.0007895142703472871
7,0.11728,17.758,29.4990540750292,31.125172153540408,1.1408726567366045,0.0007922726782893087
7,0.11728,17.758,29.491834891761094,31.115747471154478,1.1448404417675269,0.0007950280845607826
