SERIE;FECHA DE MUESTRA;HI;DGA;ACE
P186257;24/02/2025;1.214285714;1.3;1
PA 277 - 01;24/02/2025;1.3;1.3;
PA 277 - 02;24/02/2025;1;1;
PA 277 - 03;24/02/2025;1;;1
PA196-01-04;24/02/2025;1;;1
PA277 -01;24/02/2025;1;;1
PA277- 02;24/02/2025;1;;1
PT9003-01;24/02/2025;1.12987013;1;1.454545455
V101038;24/02/2025;1.214285714;1.3;1
V101039;24/02/2025;1.214285714;1.3;1
V101040;24/02/2025;1.214285714;1.3;1
V101041;24/02/2025;1.214285714;1.3;1
V101042;24/02/2025;1.214285714;1.3;1
V101043;24/02/2025;1.214285714;1.3;1
V101044;24/02/2025;1;;1
V147101;24/02/2025;1;1;1
V147102;24/02/2025;1;1;1
V147103;24/02/2025;1;1;1
V147104;24/02/2025;1.555555556;;1.555555556
V147105;24/02/2025;1.214285714;1.3;1
V147106;24/02/2025;1;1;1
V147107;24/02/2025;1.214285714;1.3;1
V163201;24/02/2025;1;1;1
V180401;24/02/2025;1;1;1
V180402;24/02/2025;1;1;1
V180403;24/02/2025;1;1;1
59571;23/02/2025;1.642857143;1.9;1
59572;23/02/2025;1.694805195;1.9;1.181818182
59573;23/02/2025;1.321428571;1.45;1
100138;23/02/2025;1;1;1
146916;23/02/2025;1.214285714;1.3;1
146917;23/02/2025;1.214285714;1.3;1
146918;23/02/2025;1.214285714;1.3;1
147400;23/02/2025;1.214285714;1.3;1
185466;23/02/2025;1.081632653;1;1.285714286
185519;23/02/2025;1.321428571;1.45;1
185634;23/02/2025;1.642857143;1.9;1
185635;23/02/2025;1.642857143;1.9;1
185636;23/02/2025;1.642857143;1.9;1
185765;23/02/2025;1.214285714;1.3;1
185766;23/02/2025;1.214285714;1.3;1
185767;23/02/2025;1.214285714;1.3;1
338118;23/02/2025;3.7;3.7;
359110;23/02/2025;1;1;1
359111;23/02/2025;1.214285714;1.3;1
364072;23/02/2025;1;1;1
364073;23/02/2025;1;1;1
364074;23/02/2025;1.214285714;1.3;1
364075;23/02/2025;1.214285714;1.3;1
364076;23/02/2025;3;3;
364077;23/02/2025;1.214285714;1.3;1
364078;23/02/2025;1.214285714;1.3;1
551873;23/02/2025;1;1;1
551874;23/02/2025;1;1;1
551875;23/02/2025;1;1;1
123157T;23/02/2025;1.081632653;1;1.285714286
123158T;23/02/2025;1;1;1
123159T;23/02/2025;1;1;1
123160T;23/02/2025;1;1;1
123161T;23/02/2025;1;1;1
132006T1;23/02/2025;1;1;1
146659T1;23/02/2025;1.214285714;1.3;1
146659T2;23/02/2025;1;1;1
146659T3;23/02/2025;1.214285714;1.3;1
146660T1;23/02/2025;1.214285714;1.3;1
146660T2;23/02/2025;1;1;1
146660T3;23/02/2025;1.025974026;1;1.090909091
147926T1;23/02/2025;1.214285714;1.3;1
149292T;23/02/2025;1.214285714;1.3;1
150700A/01;23/02/2025;1.214285714;1.3;1
150700A/02;23/02/2025;1.214285714;1.3;1
150700B/01;23/02/2025;1.214285714;1.3;1
160967T;23/02/2025;1;1;1
161159T2;23/02/2025;1;1;1
